scraping_date,scraping_time,floorplan_name,bedroom,bathroom,squareFootage,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/20,10,a3,1,1,800,1262,1765,5,27,2022
2022/05/20,10,a3_e,1,1,800,1276,1578,5,27,2022
2022/05/20,10,a3_p,1,1,800,1281,1624,5,27,2022
2022/05/20,10,a2_p,1,1,700,1317,1553,5,27,2022
2022/05/20,10,b1dh,2,1,980,1371,1900,5,27,2022
2022/05/20,10,b1dh_e,2,1,980,1375,1925,5,27,2022
2022/05/20,10,bt_e,2,1100,1522,1914,5,27,2022
2022/05/20,10,b2dh_p,2,1000,1530,1876,5,27,2022
2022/05/20,10,b3,2,2,980,1687,2149,5,27,2022
2022/05/20,10,b5,2,2,980,1733,2204,5,27,2022
2022/05/20,10,b4,2,2,1000,2001,2423,5,27,2022
2022/05/20,10,ct_e,3,1350,2017,2900,5,27,2022
2022/05/20,10,a3,1,1,800,1262,1765,5,28,2022
2022/05/20,10,a3_e,1,1,800,1276,1578,5,28,2022
2022/05/20,10,a3_p,1,1,800,1281,1624,5,28,2022
2022/05/20,10,a2_p,1,1,700,1317,1553,5,28,2022
2022/05/20,10,b1dh,2,1,980,1371,1900,5,28,2022
2022/05/20,10,b1dh_e,2,1,980,1378,1925,5,28,2022
2022/05/20,10,bt_e,2,1100,1522,1914,5,28,2022
2022/05/20,10,b2dh_p,2,1000,1530,1876,5,28,2022
2022/05/20,10,b3,2,2,980,1687,2149,5,28,2022
2022/05/20,10,b5,2,2,980,1733,2204,5,28,2022
2022/05/20,10,b4,2,2,1000,2001,2423,5,28,2022
2022/05/20,10,ct_e,3,1350,2022,2914,5,28,2022
2022/05/20,10,a3,1,1,800,1262,1765,5,29,2022
2022/05/20,10,a3_e,1,1,800,1276,1578,5,29,2022
2022/05/20,10,a3_p,1,1,800,1281,1624,5,29,2022
2022/05/20,10,a2_p,1,1,700,1317,1553,5,29,2022
2022/05/20,10,b1dh,2,1,980,1371,1900,5,29,2022
2022/05/20,10,b1dh_e,2,1,980,1382,1925,5,29,2022
2022/05/20,10,bt_e,2,1100,1522,1914,5,29,2022
2022/05/20,10,b2dh_p,2,1000,1530,1876,5,29,2022
2022/05/20,10,b3,2,2,980,1687,2149,5,29,2022
2022/05/20,10,b5,2,2,980,1733,2204,5,29,2022
2022/05/20,10,b4,2,2,1000,2001,2423,5,29,2022
2022/05/20,10,ct_e,3,1350,2027,2928,5,29,2022
2022/05/20,10,a3,1,1,800,1262,1765,5,30,2022
2022/05/20,10,a3_e,1,1,800,1276,1578,5,30,2022
2022/05/20,10,a3_p,1,1,800,1281,1624,5,30,2022
2022/05/20,10,a2_p,1,1,700,1317,1553,5,30,2022
2022/05/20,10,b1dh,2,1,980,1371,1900,5,30,2022
2022/05/20,10,b1dh_e,2,1,980,1385,1925,5,30,2022
2022/05/20,10,bt_e,2,1100,1522,1914,5,30,2022
2022/05/20,10,b2dh_p,2,1000,1530,1876,5,30,2022
2022/05/20,10,b3,2,2,980,1687,2149,5,30,2022
2022/05/20,10,b5,2,2,980,1733,2204,5,30,2022
2022/05/20,10,b4,2,2,1000,2001,2423,5,30,2022
2022/05/20,10,ct_e,3,1350,2033,2942,5,30,2022
2022/05/20,10,a3,1,1,800,1262,1765,5,31,2022
